name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
Dr. Reckeweg Magnesia Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,185,163,https://www.1mg.com/otc/dr.-reckeweg-magnesia-phosphoricum-biochemic-tablet-6x-otc327878
Dr. Reckeweg Causticum Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-causticum-dilution-200-ch-otc335669
SBL Pothos Foetidus Mother Tincture Q,bottle of 30 ml Mother Tincture,365,321,https://www.1mg.com/otc/sbl-pothos-foetidus-mother-tincture-q-otc338428
SBL Nuphar Lutea Mother Tincture Q,bottle of 30 ml Mother Tincture,330,266,https://www.1mg.com/otc/sbl-nuphar-lutea-mother-tincture-q-otc338439
SBL Sepia Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-sepia-dilution-30-ch-otc338225
SBL Caladium Seguinum Dilution 1000 CH,bottle of 30 ml Dilution,140,116,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-1000-ch-otc346067
SBL Histaminum Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/sbl-histaminum-dilution-200-ch-otc348944
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,bottle of 200 ml Liquid,200,184,https://www.1mg.com/otc/wheezal-arnica-hair-n-scalp-treatment-homeopathic-medicine-otc339198
Bakson Homoeopathic Formula P Tablet,bottle of 200 tablets,500,481,https://www.1mg.com/otc/bakson-homoeopathic-formula-p-tablet-otc502902
ADEL 26 Oss-Regen Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-26-oss-regen-drop-otc326094
SBL Drops No. 6 (For Joint Pain),bottle of 30 ml Drop,185,163,https://www.1mg.com/otc/sbl-drops-no.-6-for-joint-pain-otc329041
SBL Acid Nitricum Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-acid-nitricum-dilution-30-ch-otc338400
Dr. Reckeweg R30 Universal Ointment,jar of 85 gm Ointment,655,590,https://www.1mg.com/otc/dr.-reckeweg-r30-universal-ointment-otc326237
Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,105,92,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-30-ch-otc394792
Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r53-acne-vulgaris-and-pimples-drop-otc326016
Dr Willmar Schwabe India Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,110,97,https://www.1mg.com/otc/dr-willmar-schwabe-india-avena-sativa-mother-tincture-q-otc390792
Dr. Reckeweg Gelsemium Sempervirens Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-gelsemium-sempervirens-dilution-30-ch-otc326754
Dr. Reckeweg R57 Pulmonary Tonic,bottle of 22 ml Tonic,270,238,https://www.1mg.com/otc/dr.-reckeweg-r57-pulmonary-tonic-otc327411
